comment,Project ID,Project Name,Project Description,Project Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetrixCSV2.0_PROJECT,CSVImported_Folded_Project,Flat_Folded_Bound_Project_001,Mix of products,Test project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment,Product Name,Required Quantity,Trim Width,Trim Height,Stock Vendor,Stock Name,Stock Weight,IGNORED,IGNORED,Priority,Top Offcut,Left Offcut ,Bottom Offcut,Right Offcut,Product MIS ID,Product Description,Product Notes,Product Due Date,Company Name,Contact First Name,Contact Family Name,Content File,PageColor Name Side 1,PageColor Name Side 2,Product Group Name,Finished Grain,Bleeds Top (From Page 1),Bleeds Left (From Page 1),Bleeds Bottom (From Page 1),Bleeds Right (From Page 1),Side 1 Folio,Side 2 Folio
MetrixCSV2.0_FLAT,Business Card 1,500,3.25,2.5,House,House Stock - 100# Text,150,,,5,0,0,0,0,MIS_ID_Flat_1,Flat,note1,Due Date,Metrix Software,Tom,Tuttle,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",Heavy Coverage,,1,1,1,1,Front,Front
MetrixCSV2.0_FLAT,Business Card 2,500,3.25,2.5,House,House Stock - 100# Text,150,,,5,0,0,0,0,MIS_ID_Flat_2,Flat,note2,Due Date,Metrix Software,Tom,Tuttle,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",Heavy Coverage,,1,1,1,1,Front,Front
MetrixCSV2.0_FLAT,A4 Flyer 1,1000,8.25,11,House,House Stock - 100# Text,150,,,5,0,0,0,0,MIS_ID_Flat_3,Flat,note3,Due Date,Metrix Software,Tom,Tuttle,,"Cyan, Magenta, Yellow, Black",Black,Gloss Coating,,0,0,0,0,Front,Front
MetrixCSV2.0_FLAT,A4 Flyer 2,1000,8.25,11,House,House Stock - 100# Text,150,,,5,0,0,0,0,MIS_ID_Flat_4,Flat,note3,Due Date,Metrix Software,Tom,Tuttle,,"Cyan, Magenta, Yellow, Black",Black,Gloss Coating,,0.125,0.125,0.125,0.125,Page 1,Page 2
MetrixCSV2.0_FLAT,Door Hanger,3000,4,8.25,House,House Stock - 100# Text,150,,,5,0,0,0,0,MIS_ID_Flat_5,Flat,note4,Due Date,Metrix Software,Tom,Tuttle,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",Gloss Coating,,0.125,0.125,0.125,0.125,Page 1,Page 2
MetrixCSV2.0_FLAT,Card,3000,5.75,6.75,House,House Stock - 100# Text,150,,,5,0,0,0,0,MIS_ID_Flat_6,Flat,note5,Due Date,Metrix Software,Tom,Tuttle,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",,,0.125,0.125,0.125,0.125,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment,Product Name,Required Quantity,Trim Width,Trim Height,Stock Vendor,Stock Name,Stock Weight,Fold Catalog / Metrix Fold Name,IGNORED,Priority,Top Offcut,Left Offcut ,Bottom Offcut,Right Offcut,Product MIS ID,Product Description,Product Notes,Product Due Date,Company Name,Contact First Name,Contact Family Name,Content File,PageColor Name Side 1,PageColor Name Side 2,Product Group Name,Finished Grain,Bleeds Top (From Page 1),Bleeds Left (From Page 1),Bleeds Bottom (From Page 1),Bleeds Right (From Page 1),Folio Pattern,IGNORED,Combine Pages
MetrixCSV2.0_FOLDED,Folded1,500,4,8.25,House,House Stock - 100# Text,150,F6-2,,1,0,0,0,0,MIS_ID_Fold_1,Folded,note1,Due Date,Metrix Software,Paul,Pro,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",folded,,0.125,0.125,0.125,0.125,1,,
MetrixCSV2.0_FOLDED,Folded2,500,8.25,11,House,House Stock - 100# Text,150,F4-1,,1,0,0,0,0,MIS_ID_Fold_2,Folded,note2,Due Date,Metrix Software,Paul,Pro,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",folded,,0.125,0.125,0.125,0.125,A,,
MetrixCSV2.0_FOLDED,Folded3,1500,8.25,11,House,House Stock - 100# Text,150,F4-1,,1,0,0,0,0,MIS_ID_Fold_3,Folded,note3,Due Date,Metrix Software,Paul,Pro,,Black,"Cyan, Magenta, Yellow, Black",folded,,0,0,0,0,Page 1,,
MetrixCSV2.0_FOLDED,Folded4,3000,5.75,8.25,House,House Stock - 100# Text,150,F8-4,,1,0,0,0,0,MIS_ID_Fold_4,Folded,note4,Due Date,Metrix Software,Paul,Pro,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",folded,,0.125,0.125,0.125,0.125,1,,
MetrixCSV2.0_FOLDED,Folded5,6000,4.125,5.75,House,House Stock - 100# Text,150,F4-1,,1,10,0,0,0,MIS_ID_Fold_5,Folded,note5,Due Date,Metrix Software,Paul,Pro,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",folded,,0.125,0.125,0.125,0.125,Page 1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comment,Product Name,Required Quantity,Trim Width,Trim Height,Text Stock Vendor,Text Stock Name,Text Stock Weight,IGNORED,Text Page Count,Largest Text Component,Binding Machine,IGNORED,IGNORED,IGNORED,Product MIS ID,Product Description,Product Notes,Product Due Date,Company Name,Contact First Name,Contact Family Name,Text Content File,IGNORED,IGNORED,PageColor Name Text,IGNORED,Bleeds Top (From Page 1),Bleeds Left (From Page 1),Bleeds Bottom (From Page 1),Bleeds Right (From Page 1),Folio Pattern,Text Folds,IGNORED,Binding Number Up,1st-Up Content Orientation,N-Up Content Orientation,Finished Grain Text,
MetrixCSV2.0_BOUND_SELF_COVER,BNC1,1000,4.125,5.75,House,House Stock - 100# Text,150,,64,16,Stitcher Trimmer,,,,MIS_ID_BOUND_1,Saddle-Stitched,note1,Due Date,Metrix Software,Jim,McPlan,,,,"Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,1,F16-6,,1,HeadToJog,HeadToFoot,,
MetrixCSV2.0_BOUND_SELF_COVER,BNC2,1000,5.75,8.25,House,House Stock - 100# Text,150,,48,8,Stitcher Trimmer,,,,MIS_ID_BOUND_2,Saddle-Stitched,note2,Due Date,Metrix Software,Jim,McPlan,,,,"Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,,,,,,,
MetrixCSV2.0_BOUND_SELF_COVER,BNC3,1000,5.75,8.25,House,House Stock - 100# Text,150,,88,16,Stitcher Trimmer,,,,MIS_ID_BOUND_3,Saddle-Stitched,note3,Due Date,Metrix Software,Jim,McPlan,,,,"Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,Page 1,F16-6,,,,,,
MetrixCSV2.0_BOUND_SELF_COVER,BNC4,1000,8.25,11,House,House Stock - 100# Text,150,,32,8,Stitcher Trimmer,,,,MIS_ID_BOUND_4,Saddle-Stitched,note4,Due Date,Metrix Software,Jim,McPlan,,,,"Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,,,,,,,
MetrixCSV2.0_BOUND_SELF_COVER,BNC5,2000,5.75,8.25,House,House Stock - 100# Text,150,,44,16,Stitcher Trimmer,,,,MIS_ID_BOUND_5,Saddle-Stitched,note5,Due Date,Metrix Software,Jim,McPlan,,,,"Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,F16-6,,,,,,
MetrixCSV2.0_BOUND_SELF_COVER,BNC6,2000,5.75,8.25,House,House Stock - 100# Text,150,,64,16,Stitcher Trimmer,,,,MIS_ID_BOUND_6,Saddle-Stitched,note1,Due Date,Metrix Software,Peter,Impo,,,,"Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,1,F16-6,,1,HeadToJog,HeadToFoot,,
MetrixCSV2.0_BOUND_SELF_COVER,BNC7,2000,8.25,11,House,House Stock - 100# Text,150,,48,16,Stitcher Trimmer,,,,MIS_ID_BOUND_7,Saddle-Stitched,note2,Due Date,Metrix Software,Peter,Impo,,,,"Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,F16-6,,,,,,
MetrixCSV2.0_BOUND_SELF_COVER,BNC8,2000,8.25,11,House,House Stock - 100# Text,150,,56,16,Stitcher Trimmer,,,,MIS_ID_BOUND_8,Saddle-Stitched,note3,Due Date,Metrix Software,Peter,Impo,,,,"Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,Page 1,F16-6,,,,,,
MetrixCSV2.0_BOUND_SELF_COVER,BNC9,10000,4.125,5.75,House,House Stock - 100# Text,150,,16,4,Stitcher Trimmer,,,,MIS_ID_BOUND_9,Saddle-Stitched,note4,Due Date,Metrix Software,Peter,Impo,,,,"Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,,,,,,,
MetrixCSV2.0_BOUND_SELF_COVER,BNC10,10000,4.125,5.75,House,House Stock - 100# Text,150,,36,8,Stitcher Trimmer,,,,MIS_ID_BOUND_10,Saddle-Stitched,note5,Due Date,Metrix Software,Peter,Impo,,,,"Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,,,,,,,
comment,Product Name,Required Quantity,Trim Width,Trim Height,Text Stock Vendor,Text Stock Name,Text Stock Weight,Cover Fold Catalog,Text Page Count,Largest Text Component,Binding Machine,Cover Stock Vendor,Cover Stock Name,Cover Stock Weight,Product MIS ID,Product Description,Product Notes,Product Due Date,Company Name,Contact First Name,Contact Family Name,Text Content File,PageColor Name Cover Side1,PageColor Name Cover Side2,PageColor Name Text,Finished Grain Cover,Bleeds Top (From Page 1),Bleeds Left (From Page 1),Bleeds Bottom (From Page 1),Bleeds Right (From Page 1),Folio Pattern,Text Folds,Combine Pages,Binding Number Up,1st-Up Content Orientation,N-Up Content Orientation,Finished Grain Text,Cover Content File
MetrixCSV2.0_BOUND_WITH_COVER,BWC1,1000,5.75,8.25,House,House Stock - 100# Text,150,F4-1,64,16,Stitcher Trimmer,House,House Stock - 90# Cover,245,MIS_ID_BOUND_11,Saddle-Stitched,note1,Due Date,Metrix Software,Frank,Romano,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,F16-6,,,HeadToJog,HeadToFoot,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC2,1000,5.75,8.25,House,House Stock - 100# Text,150,F4-1,48,8,Stitcher Trimmer,House,House Stock - 90# Cover,245,MIS_ID_BOUND_12,Saddle-Stitched,note2,Due Date,Metrix Software,Frank,Romano,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",Black,,0.125,0.125,0.125,0.125,FC,,,,,,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC3,1000,5.75,8.25,House,House Stock - 100# Text,150,F6-1,56,16,Stitcher Trimmer,House,House Stock - 90# Cover,245,MIS_ID_BOUND_13,Saddle-Stitched,note3,Due Date,Metrix Software,Frank,Romano,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",Black,,0.125,0.125,0.125,0.125,FC,F16-6,,,,,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC4,1000,8.25,11,House,House Stock - 100# Text,150,F8-4,44,8,Stitcher Trimmer,House,House Stock - 90# Cover,245,MIS_ID_BOUND_14,Saddle-Stitched,note4,Due Date,Metrix Software,Frank,Romano,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,,,,,,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC5,2000,5.75,8.25,House,House Stock - 100# Text,150,F4-1,32,8,Stitcher Trimmer,House,House Stock - 90# Cover,245,MIS_ID_BOUND_15,Saddle-Stitched,note5,Due Date,Metrix Software,Frank,Romano,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,,,,,,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC6,2000,5.75,8.25,House,House Stock - 100# Text,150,F4-1,64,16,Perfect Binder,House,House Stock - 90# Cover,245,MIS_ID_BOUND_16,Perfect Bound,note1,Due Date,Metrix Software,Frank,Romano,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",Black,,0.125,0.125,0.125,0.125,FC,F16-6,,,HeadToJog,HeadToFoot,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC7,2000,8.25,11,House,House Stock - 100# Text,150,F8-4,48,12,Perfect Binder,House,House Stock - 90# Cover,245,MIS_ID_BOUND_17,Perfect Bound,note2,Due Date,Metrix Software,Andy,Tribute,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,,,,,,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC8,5000,5.75,8.25,House,House Stock - 100# Text,150,F8-4,56,4,Perfect Binder,House,House Stock - 90# Cover,245,MIS_ID_BOUND_18,Perfect Bound,note3,Due Date,Metrix Software,Andy,Tribute,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",,0.125,0.125,0.125,0.125,FC,,,,,,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC9,5000,5.75,8.25,House,House Stock - 100# Text,150,F6-5,20,4,Perfect Binder,House,House Stock - 90# Cover,245,MIS_ID_BOUND_19,Perfect Bound,note4,Due Date,Metrix Software,Andy,Tribute,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",Black,,0.125,0.125,0.125,0.125,FC,,,,,,,
MetrixCSV2.0_BOUND_WITH_COVER,BWC10,10000,8.25,11,House,House Stock - 100# Text,150,F4-1,44,16,Perfect Binder,House,House Stock - 90# Cover,245,MIS_ID_BOUND_20,Perfect Bound,note5,Due Date,Metrix Software,Andy,Tribute,,"Cyan, Magenta, Yellow, Black","Cyan, Magenta, Yellow, Black",Black,,0.125,0.125,0.125,0.125,FC,F16-6,,,,,,
